name;price;expiration
Artichoke - Fresh #(3559656741018731);$165.45;12/16/2022
Pork - Chop, Frenched #(3567149820773848);$86.71;3/10/2023
Soup Campbells Split Pea And Ham #(5112343828668085);;11/27/2022
Puree - Mocha #(3574666213456393);$63.85;1/22/2023
Wine - Alsace Gewurztraminer #(3534762144984097);$169.21;1/11/2023
Sponge Cake Mix - Vanilla #(3589745983319008);$198.28;3/8/2023
Bamboo Shoots - Sliced #(201739664121100);$78.63;1/10/2023
Quail - Eggs, Fresh #(5273341072385047);$79.76;3/6/2023
Cucumber - English #(¸˛Ç◊ı˜Â¯˘¿);$67.00;2/15/2023
Tea - Mint #(3583353363553951);$114.09;12/22/2022
Wine - Red, Antinori Santa #(‪‪test‪);$197.20;1/14/2023
Glycerine #(5602219271390103);$119.29;3/5/2023
Coffee Swiss Choc Almond #(4017955792220442);$63.42;2/5/2023
Tea - Lemon Scented #(3538871831369581);$145.88;
;$129.22;12/9/2022
Corn - Cream, Canned #(372301774184297);$155.47;12/16/2022
Bread Foccacia Whole #(5602221518773240);$6.74;2/22/2023
Rice - Sushi #(4844453624537240);$133.27;12/11/2022
Soup - Campbells Chili #(3556455430302578);$187.65;1/6/2023
Sauce - Mint #(5466978725072196);$187.46;3/12/2023
The Pop Shoppe - Root Beer #();$131.15;2/5/2023
Lemonade - Island Tea, 591 Ml #();$2.21;11/23/2022
Mikes Hard Lemonade #(5010122794614916);$115.13;12/30/2022
Coffee Guatemala Dark #();$9.80;2/13/2023
Rolled Oats #(<img src=x onerror=alert('hi') />);$24.04;3/1/2023
Appetizer - Spring Roll, Veg #(3575605670483440);;12/16/2022
Scallops - In Shell #(3532118129086972);$5.09;12/24/2022
Daikon Radish #();$110.06;12/14/2022
Wine - Red, Colio Cabernet #(6706495199852902);$193.89;2/4/2023
Juice - Pineapple, 48 Oz #(30261657123164);$90.83;1/16/2023
Cookies - Englishbay Oatmeal #(3569994714384170);$139.71;1/24/2023
Sprite, Diet - 355ml #(4903719830503257845);$189.12;12/6/2022
Gelatine Leaves - Bulk #(3589475857158973);$80.08;1/9/2023
Apple - Delicious, Golden #(677181566290041298);$45.31;1/12/2023
Stock - Fish #(6333476109722733);$182.71;12/27/2022
Pasta - Lasagna, Dry #(4026373913208776);$141.30;
Mushroom - Chanterelle Frozen #(30546201394372);$127.06;12/31/2022
Honey - Comb #(201585053617202);$60.15;1/15/2023
Chicken - Ground #(5583452577420075);$84.05;1/26/2023
;$58.90;12/31/2022
Scallops - In Shell #(3532118129086972);$5.09;12/24/2022
Pork - Chop, Frenched #(3572875548798278);$97.42;1/25/2023
Asparagus - White, Canned #(4905464952861124);$135.26;1/21/2023
Ranchero - Primerba, Paste #(0604563520357541932);$72.75;1/6/2023
Pork - Loin, Bone - In #(3582499538837646);$179.04;2/24/2023
Grenadillo #(5602235316767840);$138.70;1/31/2023
Paper Cocktail Umberlla 80 - 180 #(3547584482987739);$151.20;12/20/2022
;$129.66;3/4/2023
Beer - Upper Canada Light #(3546482888838187);$63.95;3/2/2023
Pastrami #(374288580205739);$32.03;1/13/2023
Soup - Campbells, Classic Chix #(../../../../../../../../../../../etc/passwd%00);$195.55;2/19/2023
Ham - Proscuitto #(3570573903045490);$92.12;12/9/2022
Sprite, Diet - 355ml #(4903719830503257845);$189.12;12/6/2022
Pastry - Banana Tea Loaf #(50384979139335794);$16.93;3/16/2023
Chips Potato Salt Vinegar 43g #(490515680500796727);$77.39;12/10/2022
Edible Flower - Mixed #(372301515504019);$27.68;2/19/2023
Butcher Twine 4r #(5010121635695308);$15.42;2/16/2023
Water - Spring 1.5lit #(3532264574424084);$138.31;1/1/2023
Savory #();$39.16;1/28/2023
Cape Capensis - Fillet #(3582795109303441);$189.72;1/9/2023
Langers - Cranberry Cocktail #(5020370792195382046);$32.54;1/14/2023
Cattail Hearts #(3583450021802976);$197.95;3/11/2023
Creme De Menth - White #(3536985109699693);$58.09;12/2/2022
Ecolab - Ster Bac #(5602241084717397);$161.86;3/7/2023
Bamboo Shoots - Sliced #(201739664121100);$78.63;1/10/2023
Vodka - Lemon, Absolut #(374622197944761);;11/28/2022
Beef - Tenderloin #(3586699137036724);$84.02;2/25/2023
Langers - Ruby Red Grapfruit #(3559374360810194);$198.41;3/13/2023
Longos - Burritos #(5522379913012585);$197.69;1/24/2023
Pasta - Cannelloni, Sheets, Fresh #(3584831373143763);$161.76;3/1/2023
Fish - Atlantic Salmon, Cold #(5602236165488140);$1.16;1/6/2023
Cheese - St. Andre #(3533484377830142);$141.98;2/19/2023
Scallops - In Shell #(הָיְתָהtestالصفحات التّحول);$71.61;2/2/2023
Pop - Club Soda Can #(676722634470755471);$75.30;11/29/2022
Chicken - Livers #(490504345090624068);$113.80;12/10/2022
Table Cloth 81x81 White #(3530620227339882);$48.20;1/31/2023
Stock - Fish #(6333476109722733);$182.71;12/27/2022
Cookie - Oreo 100x2 #(3536997332582869);$134.99;11/25/2022
Chilli Paste, Hot Sambal Oelek #(4936463115594544097);$41.66;11/28/2022
Table Cloth 81x81 Colour #(630409649051548274);$58.77;12/20/2022
Wine - Clavet Saint Emilion #(3575829506908202);$93.49;12/21/2022
Nut - Pecan, Halves #(3584642598030291);$68.96;12/8/2022
Cod - Salted, Boneless #(5602249582351999);$184.04;1/3/2023
Pasta - Lasagna Noodle, Frozen #(␣);$13.73;3/4/2023
Cape Capensis - Fillet #(3582795109303441);$189.72;1/9/2023
Appetizer - Mini Egg Roll, Shrimp #(4041592806509);$184.51;1/19/2023
Wine - Casillero Deldiablo #(3528844641881253);$192.32;12/10/2022
Schnappes - Peach, Walkers #(3547937876741460);$164.41;12/23/2022
Olives - Kalamata #(670663142207435239);$141.27;12/31/2022
Quail - Whole, Boneless #(3566530314655594);$110.01;1/17/2023
Juice - Tomato, 10 Oz #(30582044901222);$96.10;2/16/2023
Mints - Striped Red #(4041593643752972);$74.17;12/22/2022
Tea - Decaf Lipton #();$183.85;1/25/2023
Soup - Campbells, Butternut #();$169.55;12/3/2022
Wine - Niagara,vqa Reisling #(676741096944462380);$155.42;11/30/2022
Cucumber - English #(¸˛Ç◊ı˜Â¯˘¿);$67.00;2/15/2023
Sugar Thermometer #(501811570978546875);$91.34;2/21/2023
Pork - Loin, Bone - In #(374283595607714);$102.45;2/25/2023
Island Oasis - Raspberry #(201889846255985);$157.57;11/29/2022
Liners - Banana, Paper #(3570593378938383);$89.13;12/31/2022
Seaweed Green Sheets #();$171.21;2/12/2023
Lid - 10,12,16 Oz #(6762402289953897578);$85.55;
Cookie Dough - Oatmeal Rasin #(201659525911913);$112.80;1/1/2023
Longos - Burritos #(5522379913012585);$197.69;1/24/2023
Puree - Mango #(3582704336241713);$100.97;11/29/2022
Coffee - Flavoured #(3562041988334353);;11/26/2022
Sauce - Ranch Dressing #();$123.86;12/21/2022
Pheasants - Whole #(3564994101280754);$186.92;1/18/2023
Milk - Buttermilk #(3550208634010117);$162.80;12/17/2022
Oats Large Flake #(374288164963810);$31.15;
Pepsi, 355 Ml #(6334729591838543);$187.04;3/3/2023
Pastry - Plain Baked Croissant #(30423014817314);$93.51;12/24/2022
Broom - Corn #(3583528070938054);$18.95;12/30/2022
Mints - Striped Red #(4041593643752972);$74.17;12/22/2022
Wine - Red, Wolf Blass, Yellow #(30328398828771);$61.82;3/4/2023
Turnip - Mini #(3587997518229127);$114.82;11/27/2022
Veal - Leg, Provimi - 50 Lb Max #();$169.50;1/2/2023
Dome Lid Clear P92008h #(5602227834991978);$159.82;12/13/2022
;$49.90;2/9/2023
Chicken - Livers #(490504345090624068);$113.80;12/10/2022
Tea - Lemon Scented #(3538871831369581);$145.88;
Shrimp - Baby, Cold Water #(₀₁₂);$149.64;11/23/2022
Shrimp - Baby, Cold Water #(₀₁₂);$149.64;11/23/2022
Artichoke - Fresh #(3559656741018731);$165.45;12/16/2022
Yogurt - Blueberry, 175 Gr #(3530948887575820);$162.28;11/25/2022
Seedlings - Clamshell #(3537749437096140);$175.50;2/12/2023
Vinegar - Red Wine #(5048379522341693);$110.71;2/22/2023
Hersey Shakes #(3581655423904269);$35.63;12/3/2022
Chutney Sauce - Mango #(3556614015903263);$104.42;1/25/2023
Octopus - Baby, Cleaned #(3574530849279548);$185.42;12/12/2022
;$80.59;1/27/2023
Chinese Foods - Chicken #(3569307127355606);$92.95;12/29/2022
Glaze - Apricot #(490335807314021863);$63.02;3/5/2023
Rosemary - Dry #(3562859601808663);$62.35;2/20/2023
Island Oasis - Raspberry #(201889846255985);$157.57;11/29/2022
Coffee - Cafe Moreno #(3579595343651539);$110.02;11/25/2022
Mikes Hard Lemonade #(3564029387988158);$83.30;2/27/2023
Juice - Clamato, 341 Ml #(3557708585855538);$91.24;3/3/2023
Mountain Dew #(374288496255711);$53.74;11/27/2022
Lemon Balm - Fresh #(3568247825411510);$173.07;3/13/2023
Lamb - Shanks #();$26.88;12/1/2022
;$169.91;12/21/2022
Wine - Stoneliegh Sauvignon #(｀ｨ(´∀｀∩);$129.36;12/2/2022
;$89.51;12/5/2022
Mushroom - Chanterelle Frozen #(5100177849302355);$80.97;2/6/2023
Flower - Commercial Bronze #(3576176023906064);$33.59;1/30/2023
Bar Special K #();$6.97;12/16/2022
Truffle - Whole Black Peeled #(3582745272933748);$82.06;2/19/2023
Chip - Potato Dill Pickle #(3575416291102553);$191.97;3/11/2023
Langers - Ruby Red Grapfruit #(3559374360810194);$198.41;3/13/2023
Zucchini - Mini, Green #(3573924780116234);$97.60;1/8/2023
Bar Nature Valley #(3556288378017894);$12.00;1/26/2023
;$169.91;12/21/2022
Chick Peas - Canned #(201777979119005);$178.13;1/13/2023
Beer - Upper Canada Light #(3546482888838187);$63.95;3/2/2023
Veal - Leg #(3551607192632684);$186.02;1/29/2023
Beer - Creemore #(36224098034121);$149.30;12/24/2022
Table Cloth 120 Round White #(5108757884474300);$95.28;2/26/2023
Oil - Margarine #();$112.71;12/23/2022
Coffee Guatemala Dark #();$9.80;2/13/2023
Fiddlehead - Frozen #(3551723892426341);$97.30;2/15/2023
Coffee Swiss Choc Almond #(6304490701987482);$144.57;1/2/2023
Seaweed Green Sheets #();$171.21;2/12/2023
Beer - Sleemans Cream Ale #(3567421898820409);$30.09;12/11/2022
Chicken - Base #();$184.98;
Cod - Salted, Boneless #(5602249582351999);$184.04;1/3/2023
Sprouts - Corn #(3562591565710698);$152.09;12/13/2022
Sage Derby #();$136.41;12/14/2022
Coffee Swiss Choc Almond #(6304490701987482);$144.57;1/2/2023
Liners - Banana, Paper #(560221333015104715);$61.38;2/28/2023
Scallops - In Shell #(3532118129086972);$5.09;12/24/2022
Wine - Lamancha Do Crianza #(4175007037838139);$177.00;11/29/2022
Schnappes - Peach, Walkers #(30363723269227);$140.29;1/22/2023
Juice - Tomato, 10 Oz #(30582044901222);$96.10;2/16/2023
Nut - Hazelnut, Ground, Natural #(201442900336976);$190.94;12/6/2022
Icecream - Dstk Strw Chseck #(4903779067879097);$13.51;2/25/2023
French Pastry - Mini Chocolate #(201939685816858);$154.27;2/7/2023
Bread - Malt #(337941482222923);$153.04;12/25/2022
Leeks - Baby, White #(4041597217015781);$123.28;12/9/2022
Sauce - Ranch Dressing #();$123.86;12/21/2022
Beer - Upper Canada Light #(3569050827437437);$25.59;12/22/2022
Hog / Sausage Casing - Pork #(5602237339314154);$162.85;12/3/2022
Olives - Kalamata #(670663142207435239);$141.27;12/31/2022
Wine - White, Ej Gallo #(6385070662107106);$107.12;12/20/2022
Sprouts - Baby Pea Tendrils #(374288290281350);$75.02;3/2/2023
Crush - Orange, 355ml #(6304379793936186);$24.58;11/26/2022
Butcher Twine 4r #(5010121635695308);$15.42;2/16/2023
Crush - Orange, 355ml #(3570481785868460);$157.24;1/21/2023
Apple - Delicious, Red #(201871565068021);$121.19;12/7/2022
Wine - Red, Colio Cabernet #(6706495199852902);$193.89;2/4/2023
Seedlings - Clamshell #(3537749437096140);$175.50;2/12/2023
Coffee - Flavoured #(3562041988334353);;11/26/2022
Vermouth - Sweet, Cinzano #(3583844134651991);$149.61;2/12/2023
Shrimp - Black Tiger 8 - 12 #(3539841640347903);$166.49;12/25/2022
Juice - Tomato, 10 Oz #(30582044901222);$96.10;2/16/2023
Dome Lid Clear P92008h #(5602227834991978);$159.82;12/13/2022
Towel Dispenser #(4844693279656163);$95.72;1/8/2023
Cheese - Le Cru Du Clocher #(3532661864139688);$90.50;3/2/2023
Carroway Seed #(3564673406900684);$30.36;12/31/2022
Lamb - Shanks #();$26.88;12/1/2022
Sun - Dried Tomatoes #(3567740862116134);$194.24;11/27/2022
Oats Large Flake #(374288164963810);$31.15;
Pastry - Chocolate Chip Muffin #(36967330384437);$157.30;1/25/2023
Tomato - Plum With Basil #(3539940803532085);$180.80;3/14/2023
Wine - Niagara,vqa Reisling #(676741096944462380);$155.42;11/30/2022
Beer - Camerons Cream Ale #(201424209107118);$74.60;3/7/2023
Table Cloth 72x144 White #('');$181.82;11/28/2022
Watercress #(⁦test⁧);$181.35;3/5/2023
Wine - Magnotta - Bel Paese White #(3566443546465180);$61.23;3/10/2023
Lettuce - Arugula #(337941023491979);;3/3/2023
Creamers - 10% #(201943030028631);$162.65;2/18/2023
Mudslide #(5018186154991232);$140.53;1/7/2023
Butter - Salted, Micro #(3563527483151036);$193.58;2/21/2023
V8 - Vegetable Cocktail #();$55.80;1/2/2023
Carroway Seed #(3564673406900684);$30.36;12/31/2022
Asparagus - White, Canned #(4905464952861124);$135.26;1/21/2023
Pepper - Black, Crushed #(3547210452985947);$151.02;2/21/2023
Sugar - Cubes #(3589870686707851);$119.86;12/3/2022
Pear - Asian #(3563674997751180);$79.46;12/10/2022
Mushroom - Shitake, Dry #(6759651963150743);$190.63;1/3/2023
Vodka - Lemon, Absolut #(5018952792691270919);$91.13;12/27/2022
Pepper - White, Whole #(30286891934621);$72.39;3/2/2023
Chicken - Leg, Fresh #(589382708164317370);$104.94;2/14/2023
Lime Cordial - Roses #(6706516655990140);$181.26;2/26/2023
Sea Urchin #(50203163491528820);$11.40;12/13/2022
Pheasants - Whole #(3564994101280754);$186.92;1/18/2023
Vaccum Bag 10x13 #(201716179036858);$117.45;1/26/2023
Garlic Powder #(3566318418568982);$162.63;12/18/2022
Bamboo Shoots - Sliced #(201739664121100);$78.63;1/10/2023
Artichoke - Fresh #(3559656741018731);$165.45;12/16/2022
Vodka - Lemon, Absolut #(5018952792691270919);$91.13;12/27/2022
Sunflower Seed Raw #(3565238036204037);$162.53;1/21/2023
Extract - Almond #(הָיְתָהtestالصفحات التّحول);$190.93;3/11/2023
Table Cloth 81x81 White #(3530620227339882);$48.20;1/31/2023
Wine - Red Oakridge Merlot #(3566162296070996);$174.54;1/16/2023
Wine - White, Colubia Cresh #(3572270474512358);$126.90;11/23/2022
Salmon - Atlantic, No Skin #(😍);$130.87;2/8/2023
Juice - Pineapple, 48 Oz #(30261657123164);$90.83;1/16/2023
Appetizer - Sausage Rolls #(3541956167859944);$117.00;2/13/2023
Mackerel Whole Fresh #(50384579792099602);$33.93;2/2/2023
Carbonated Water - Strawberry #(3586930559715432);$145.85;12/24/2022
Fish - Atlantic Salmon, Cold #(5602236165488140);$1.16;1/6/2023
Bread - Rosemary Focaccia #(560224566099526751);;1/20/2023
;$1.09;3/10/2023
Mahi Mahi #(5602239930221887);$85.03;12/25/2022
Cheese - St. Andre #(3533484377830142);$141.98;2/19/2023
Coffee Swiss Choc Almond #(6304490701987482);$144.57;1/2/2023
Daikon Radish #();$110.06;12/14/2022
Table Cloth 120 Round White #(6333696065971707);$48.76;12/23/2022
Chocolate Eclairs #(3553648577537286);$84.19;12/22/2022
Sugar Thermometer #(201536221857899);$13.44;1/4/2023
Beer - Creemore #(6385109398639287);$45.95;12/17/2022
Bread - Pain Au Liat X12 #(3568470640872761);$145.41;12/19/2022
Onions - Vidalia #(3548947491593500);$106.39;2/22/2023
Mushroom - Chanterelle Frozen #(5100177849302355);$80.97;2/6/2023
Sultanas #(060451353857244140);$93.77;2/25/2023
Cheese - Camembert #();$172.74;12/18/2022
Butcher Twine 4r #(5010121635695308);$15.42;2/16/2023
Jam - Strawberry, 20 Ml Jar #(6333369069704165);$136.68;12/28/2022
Muffin Mix - Morning Glory #(4041591821533);$160.90;12/25/2022
Dried Figs #(NULL);$57.68;3/5/2023
Juice - Pineapple, 48 Oz #(Ω≈ç√∫˜µ≤≥÷);$113.70;1/4/2023
Vol Au Vents #(4903747544475571291);$94.31;3/2/2023
The Pop Shoppe - Lime Rickey #(3583747710786398);$138.31;3/15/2023
;$92.97;1/18/2023
White Baguette #(5595301997467081);$66.14;2/5/2023
Wine - Balbach Riverside #(63042193391687192);$30.25;3/7/2023
Bandage - Fexible 1x3 #(3553145069710778);$44.14;2/23/2023
Beer - Upper Canada Light #(3546482888838187);$63.95;3/2/2023
Raspberries - Frozen #(3587090510100163);$163.88;2/2/2023
Containter - 3oz Microwave Rect. #();$164.91;2/1/2023
Mousse - Mango #((╯°□°）╯︵ ┻━┻)  );$67.20;1/18/2023
Mace Ground #(201708446197571);$10.53;3/11/2023
Soup - Campbells Chili #(3556455430302578);$187.65;1/6/2023
Soup - Canadian Pea, Dry Mix #(50385789527930893);$6.01;3/13/2023
Glucose #(4936417142155479);$123.62;2/19/2023
Bread - Rosemary Focaccia #(560224566099526751);;1/20/2023
Beer - Upper Canada Light #(4041375760085539);$181.85;2/11/2023
Grenadine #(5010122259033651);$166.81;2/28/2023
Sugar - Crumb #(4917777246635202);$117.92;1/24/2023
Noodles - Cellophane, Thin #(5100174802294257);$187.02;1/22/2023
Muffin Chocolate Individual Wrap #(3551850836911037);;2/12/2023
Alize Gold Passion #(3586695264089064);$165.35;3/17/2023
French Pastry - Mini Chocolate #(201939685816858);$154.27;2/7/2023
Water - Spring 1.5lit #(3532264574424084);$138.31;1/1/2023
Bread - Corn Muffaleta Onion #(4405271815284518);$176.27;2/9/2023
Bread - Malt #(337941482222923);$153.04;12/25/2022
Tomato - Green #(4917759028395791);$152.59;12/1/2022
Wine - Casillero Deldiablo #(3528844641881253);$192.32;12/10/2022
Sauce - Roasted Red Pepper #(3539765788931626);$33.18;2/17/2023
Grenadillo #(5602235316767840);$138.70;1/31/2023
Corn - Mini #(3578822510554176);$98.83;1/7/2023
Sultanas #(060451353857244140);$93.77;2/25/2023
Creme De Menth - White #(3536985109699693);$58.09;12/2/2022
Bread - Bistro White #(6334177978558377);$160.81;2/5/2023
Nut - Pistachio, Shelled #(5020745804509227);$51.62;1/14/2023
Higashimaru Usukuchi Soy #(5213582486235863);$82.93;12/23/2022
Beef - Shank #(4917638044880699);;1/21/2023
Instant Coffee #(6381037712032265);$8.54;3/4/2023
;$169.91;12/21/2022
Nut - Pecan, Halves #(3584642598030291);$68.96;12/8/2022
Bread - Olive #(30384890413562);$148.09;1/12/2023
Artichoke - Fresh #(3532413238812461);$0.84;3/12/2023
Sultanas #(060451353857244140);$93.77;2/25/2023
Napkin White - Starched #(5048374127238188);$6.27;2/22/2023
Parsley - Dried #(5602230920210444);$65.51;1/4/2023
Flavouring - Raspberry #(3565480373360564);$14.02;12/31/2022
Bagel - Whole White Sesame #(5602220160749771);$133.96;2/12/2023
Bagel - Everything Presliced #(374622577054165);$57.09;12/23/2022
Banana - Green #(5473754032463795);$94.56;2/12/2023
Schnappes - Peach, Walkers #(3547937876741460);$164.41;12/23/2022
"Fib N9 - Prague Powder #(<>?:""{}|_+)";$76.54;2/2/2023
Mikes Hard Lemonade #(5010122794614916);$115.13;12/30/2022
Veal - Leg, Provimi - 50 Lb Max #(201694762527304);$144.38;3/9/2023
;$75.33;12/11/2022
Plums - Red #(6382862421958057);$90.89;1/12/2023
Wine - Casillero Deldiablo #(4905033238635964);$129.71;12/4/2022
Tea - Mint #(3583353363553951);$114.09;12/22/2022
Pepper - Gypsy Pepper #(3557996310916077);$100.48;12/5/2022
Gherkin - Sour #(4917625846196234);$167.99;1/18/2023
Chicken - Ground #(4175006803922101);$197.01;11/30/2022
Sugar - Palm #(67618319342455109);$85.67;2/7/2023
Wine - Stoneliegh Sauvignon #(3570862226216312);$28.73;1/29/2023
Salt - Seasoned #(5222140977354807);$37.26;12/3/2022
Pork - Bacon, Sliced #(3588068246931852);$110.34;12/13/2022
Salt - Seasoned #(5222140977354807);$37.26;12/3/2022
Extract - Rum #(3530505537751225);$5.07;1/8/2023
Schnappes - Peach, Walkers #(201918991942582);$142.98;3/8/2023
Juice - Lime #();$140.74;1/14/2023
Horseradish - Prepared #(4905090108881062754);$45.45;3/6/2023
Schnappes - Peach, Walkers #(30363723269227);$140.29;1/22/2023
Canadian Emmenthal #();$170.66;
Beer - Blue #(372301436435608);$8.46;12/22/2022
Chocolate - White #(3568887545024034);$32.56;3/17/2023
Cookie Trail Mix #(56022231941817485);$9.08;3/13/2023
Wine - Barbera Alba Doc 2001 #(337941315010438);$150.02;12/26/2022
Soup - Campbells, Beef Barley #(5002350471646287);$33.19;2/14/2023
Sauce - Hp #(␣);$112.17;2/8/2023
Wine - Sicilia Igt Nero Avola #(3583872103840626);$61.15;1/4/2023
Sambuca - Opal Nera #();$158.56;12/4/2022
Schnappes Peppermint - Walker #();$48.12;2/10/2023
;$52.25;1/7/2023
Macaroons - Homestyle Two Bit #(4905143158288312);$129.79;1/4/2023
Macaroons - Two Bite Choc #(372301310417755);$71.16;2/13/2023
Icecream Bar - Del Monte #();$191.72;3/2/2023
Sauce - Hp #(3572143017395302);$150.07;2/26/2023
;$135.11;2/13/2023
Bread - Pita, Mini #(3550451212925542);$96.48;11/29/2022
Grenadine #(5010122259033651);$166.81;2/28/2023
Lamb - Shanks #();$26.88;12/1/2022
"Cheese - Cambozola #("")";$54.76;2/13/2023
Pastry - Apple Large #(5100138399472816);$20.00;1/8/2023
Nut - Pecan, Halves #(3584642598030291);$68.96;12/8/2022
Wine - Red, Wolf Blass, Yellow #(30328398828771);$61.82;3/4/2023
Pomello #(3541027428569936);$154.54;12/24/2022
Pate - Cognac #(30409738116844);$66.34;1/26/2023
Tea - Camomele #(677183480065822916);$36.76;1/19/2023
Flounder - Fresh #(nil);$73.61;1/15/2023
Apple - Macintosh #(30003415950110);$24.42;12/28/2022
Soup - Campbells Chicken #(3556800420047891);$25.89;12/18/2022
Sour Puss Raspberry #(⁦test⁧);$72.92;3/12/2023
Sobe - Berry Energy #(564182708530428419);$73.14;1/25/2023
Cake - Night And Day Choclate #(56022535244914165);$9.88;2/21/2023
Cake - Night And Day Choclate #(3579253370962466);$23.81;1/16/2023
Potatoes - Idaho 100 Count #(6334283733673876729);$75.22;1/7/2023
Buttons #(30380871009973);$131.31;2/18/2023
Pop - Club Soda Can #(676722634470755471);$75.30;11/29/2022
Muffin Chocolate Individual Wrap #(3551850836911037);;2/12/2023
Cookie - Oreo 100x2 #(3536997332582869);$134.99;11/25/2022
;$88.65;2/24/2023
;$1.09;3/10/2023
Soup - Knorr, Country Bean #(6396302696912053);$194.60;3/9/2023
Sobe - Orange Carrot #(6394904016519013);$83.90;12/12/2022
Sponge Cake Mix - Vanilla #(3589745983319008);$198.28;3/8/2023
Truffle - Whole Black Peeled #(374288836449362);$100.09;12/3/2022
Ginger - Pickled #(5449869740696220);$165.04;1/26/2023
Lettuce - California Mix #(56022322652300892);$167.23;12/31/2022
Apples - Sliced / Wedge #(5602236713082627);$188.77;12/3/2022
Wine - Red, Wolf Blass, Yellow #(30328398828771);$61.82;3/4/2023
Fork - Plastic #(3581083527644527);$39.20;1/16/2023
Bread - Bistro Sour #(5038438286045858);$131.10;12/4/2022
Wine - White, Chardonnay #(3581638129851349);$26.37;2/12/2023
Eggplant Oriental #(5641822231487373);$100.61;12/17/2022
Cranberries - Frozen #(3541475437322864);$46.27;3/7/2023
Cake - Night And Day Choclate #(3579253370962466);$23.81;1/16/2023
Cheese - Goat #(4903388030782474878);$87.99;1/1/2023
Coffee - Flavoured #(3562041988334353);;11/26/2022
Melon - Watermelon, Seedless #();;11/27/2022
Longos - Chicken Curried #(3551954644106945);$24.53;12/6/2022
Sauce - Roasted Red Pepper #(3573581303135602);$117.90;2/27/2023
Turkey - Oven Roast Breast #(337941083012079);$113.61;1/29/2023
Cape Capensis - Fillet #(3582795109303441);$189.72;1/9/2023
Wine - Stoneliegh Sauvignon #(3570862226216312);$28.73;1/29/2023
White Baguette #(5595301997467081);$66.14;2/5/2023
Cake - Night And Day Choclate #(56022535244914165);$9.88;2/21/2023
Banana - Leaves #(30573021217427);$174.40;2/19/2023
Jam - Apricot #(6761087836242701179);$16.53;1/12/2023
Table Cloth 120 Round White #(6333696065971707);$48.76;12/23/2022
Nut - Pistachio, Shelled #(5020745804509227);$51.62;1/14/2023
Cheese - Pied De Vents #();$108.10;3/13/2023
Wine - White, Ej Gallo #(6385070662107106);$107.12;12/20/2022
Tequila Rose Cream Liquor #(3569676520923172);$191.52;2/7/2023
Wine - Merlot Vina Carmen #(5555117544367105);$95.17;12/2/2022
Lamb - Sausage Casings #(5100140628621262);$83.17;1/22/2023
External Supplier #(3537361416368944);$70.08;1/9/2023
Lamb - Loin, Trimmed, Boneless #(6709312182070383);$52.73;12/12/2022
Chips Potato Reg 43g #(30388467519156);$95.31;1/28/2023
Appetizer - Cheese Bites #(30398081200026);$31.30;1/20/2023
Potatoes - Purple, Organic #(œ∑´®†¥¨ˆøπ“‘);$143.37;3/5/2023
Lime Cordial - Roses #(6706516655990140);$181.26;2/26/2023
Cape Capensis - Fillet #(3582795109303441);$189.72;1/9/2023
Daikon Radish #(✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿);$143.78;2/10/2023
Hog / Sausage Casing - Pork #(5602237339314154);$162.85;12/3/2022
Crush - Orange, 355ml #(3570481785868460);$157.24;1/21/2023
Ginger - Pickled #(5449869740696220);$165.04;1/26/2023
Table Cloth 81x81 Colour #(630409649051548274);$58.77;12/20/2022
Asparagus - White, Canned #(4905464952861124);$135.26;1/21/2023
Emulsifier #(490320260608872814);$126.09;1/28/2023
Pizza Pizza Dough #(3583184359171577);$7.62;11/29/2022
Cheese - Mozzarella, Buffalo #(3528053967341229);$4.56;3/12/2023
Waffle Stix #();$17.05;2/13/2023
Onions - Pearl #(4017955132616648);$10.77;12/7/2022
Cheese - Mix #(5578710818677317);$166.69;1/27/2023
V8 Splash Strawberry Kiwi #(374283995506037);$83.35;3/14/2023
Octopus - Baby, Cleaned #(3574530849279548);$185.42;12/12/2022
Food Colouring - Red #(4017951930500571);$30.94;1/28/2023
Beer - Sleemans Honey Brown #(3547477542419605);$140.85;3/13/2023
Nut - Pistachio, Shelled #(5020745804509227);$51.62;1/14/2023
Sauce - Mint #(5466978725072196);$187.46;3/12/2023
Shichimi Togarashi Peppeers #();;2/15/2023
Spoon - Soup, Plastic #(374288104478697);$23.30;2/28/2023
Pork - Bacon, Sliced #(3588068246931852);$110.34;12/13/2022
Eel - Smoked #(₀₁₂);;2/1/2023
Potato - Sweet #(3547413638056191);$72.10;2/21/2023
Leeks - Baby, White #(4041597217015781);$123.28;12/9/2022
Rosemary - Dry #(3562859601808663);$62.35;2/20/2023
Urban Zen Drinks #(3559829317990621);$17.28;12/8/2022
Cheese - Pied De Vents #();$108.10;3/13/2023
Wine - Saint - Bris 2002, Sauv #(١٢٣);;1/12/2023
Snapple Raspberry Tea #(,。・:*:・゜’( ☻ ω ☻ )。・:*:・゜’);$3.91;2/4/2023
Appetizer - Shrimp Puff #(5602227667292072);$10.56;3/8/2023
Nantucket - 518ml #(3533128490108148);$144.71;2/5/2023
Basil - Seedlings Cookstown #(3560278976558955);$2.64;2/7/2023
Cheese - Woolwich Goat, Log #($1.00);$68.84;12/6/2022
Kaffir Lime Leaves #(3566691100894043);$79.10;2/15/2023
Venison - Liver #(564182662679729311);$109.80;12/11/2022
